Fid,event_unique_id,occurrencedate,reporteddate,location_type,premises_type,Neighbourhood,Longitude,Latitude,Offence_Label
172.217.6.226-10.42.0.151-443-44325-6,GO-20221728648,2022/03/18 04:00:00+00,2022/03/19 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Roncesvalles,-79.45241445,43.65632155,0
10.42.0.42-23.199.25.36-50542-80-6,GO-20221560285,2022/02/19 05:00:00+00,2022/02/19 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Etobicoke West Mall,-79.56081207,43.6392073,0
10.42.0.211-123.125.29.220-60523-80-6,GO-20221453774,2022/02/02 05:00:00+00,2022/02/02 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,East End-Danforth,-79.30011602,43.68394954,0
10.42.0.211-69.147.82.61-34477-443-6,GO-20221453700,2022/02/02 05:00:00+00,2022/02/02 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Palmerston-Little Italy,-79.42023359,43.65491084,0
192.229.173.173-10.42.0.151-443-35041-6,GO-20221454687,2022/02/01 05:00:00+00,2022/02/02 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Moss Park,-79.36947164,43.65865872,1
10.42.0.1-10.42.0.42-53-48093-17,GO-20221455148,2022/01/01 05:00:00+00,2022/02/02 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,NSA,-79.26456829,43.77894611,1
172.217.10.238-10.42.0.151-443-55667-6,GO-20221457408,2022/02/02 05:00:00+00,2022/02/02 05:00:00+00,Bar / Restaurant,Commercial,Corso Italia-Davenport,-79.44978923,43.67646811,0
10.42.0.211-123.125.29.220-57796-80-6,GO-20221457408,2022/02/02 05:00:00+00,2022/02/02 05:00:00+00,Bar / Restaurant,Commercial,Corso Italia-Davenport,-79.44978923,43.67646811,0
10.42.0.42-119.146.74.49-60415-443-6,GO-20222044157,2022/02/02 05:00:00+00,2022/02/02 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NSA,-79.78506741,43.6632784,0
10.42.0.211-23.208.168.108-40203-443-6,GO-20222044157,2022/02/02 05:00:00+00,2022/02/02 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NSA,-79.78506741,43.6632784,1
10.42.0.211-10.42.0.1-10094-53-17,GO-20221458017,2022/02/02 05:00:00+00,2022/02/03 05:00:00+00,Convenience Stores,Commercial,Guildwood,-79.18718091,43.75326045,1
10.42.0.211-10.42.0.1-64343-53-17,GO-20221458017,2022/02/02 05:00:00+00,2022/02/03 05:00:00+00,Convenience Stores,Commercial,Guildwood,-79.18718091,43.75326045,1
10.42.0.42-119.146.74.34-51153-80-6,GO-20221458017,2022/02/02 05:00:00+00,2022/02/03 05:00:00+00,Convenience Stores,Commercial,Guildwood,-79.18718091,43.75326045,1
172.217.11.35-10.42.0.211-443-33112-6,GO-20221458017,2022/02/02 05:00:00+00,2022/02/03 05:00:00+00,Convenience Stores,Commercial,Guildwood,-79.18718091,43.75326045,1
10.42.0.42-115.239.210.141-52031-80-6,GO-20221462473,2022/02/03 05:00:00+00,2022/02/03 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Trinity-Bellwoods,-79.40828337,43.64808588,0
239.255.255.250-10.42.0.151-1900-60044-17,GO-20221463028,2022/02/03 05:00:00+00,2022/02/03 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Oakridge,-79.27947672,43.70321772,1
152.163.56.2-10.42.0.211-443-48352-6,GO-20221463539,2022/02/03 05:00:00+00,2022/02/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Pelmo Park-Humberlea,-79.53456277,43.70968634,0
182.22.67.70-10.42.0.211-443-44720-6,GO-20221463539,2022/02/03 05:00:00+00,2022/02/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Pelmo Park-Humberlea,-79.53456277,43.70968634,0
10.42.0.211-10.42.0.1-46429-53-17,GO-20221464312,2022/02/03 05:00:00+00,2022/02/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Don Valley Village,-79.34542886,43.78530054,0
203.205.158.34-10.42.0.211-80-42988-6,GO-20221465162,2022/02/04 05:00:00+00,2022/02/04 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Pleasant View,-79.33602145,43.79538149,1
10.42.0.211-10.42.0.1-37408-53-17,GO-20221466551,2022/02/04 05:00:00+00,2022/02/04 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Moss Park,-79.3738772,43.65536132,0
10.42.0.151-87.240.165.80-48501-80-6,GO-20221461464,2022/02/01 05:00:00+00,2022/02/04 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Clairlea-Birchmount,-79.29704136,43.71146446,1
172.217.10.131-10.42.0.151-443-46990-17,GO-20221468699,2013/10/01 04:00:00+00,2022/02/04 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Pelmo Park-Humberlea,-79.53818881,43.73374801,0
10.42.0.211-64.71.142.110-57908-443-6,GO-20221468111,2022/02/04 05:00:00+00,2022/02/04 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Kennedy Park,-79.25259043,43.72738912,1
10.42.0.211-47.89.67.240-49207-443-6,GO-20221469770,2022/02/04 05:00:00+00,2022/02/04 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,West Humber-Clairville,-79.61990455,43.72365593,0
10.42.0.42-103.235.46.212-52714-443-6,GO-20221469682,2022/02/04 05:00:00+00,2022/02/04 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Trinity-Bellwoods,-79.42074205,43.64933335,1
172.217.10.109-10.42.0.42-443-53363-17,GO-20221471124,2022/02/04 05:00:00+00,2022/02/05 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Bendale,-79.25350865,43.77439543,1
172.217.11.46-10.42.0.151-443-39820-6,GO-20221473679,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Islington-City Centre West,-79.52871289,43.64877261,0
172.217.12.142-10.42.0.42-443-33868-6,GO-20221473679,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Islington-City Centre West,-79.52871289,43.64877261,1
172.217.12.206-10.42.0.211-443-52499-6,GO-20221473770,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Waterfront Communities-The Island,-79.38747649,43.65067257,0
10.42.0.151-10.42.0.1-16817-53-17,GO-20221474998,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,South Riverdale,-79.35132068,43.66246707,0
172.217.12.174-10.42.0.42-443-56202-6,GO-20221474998,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,South Riverdale,-79.35132068,43.66246707,1
180.149.136.194-10.42.0.42-443-51506-6,GO-20221474273,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,High Park North,-79.45241445,43.65632155,1
10.42.0.42-52.84.143.34-50235-80-6,GO-20221474560,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,Convenience Stores,Commercial,Moss Park,-79.37008264,43.65616228,0
172.217.10.78-10.42.0.151-443-52740-6,GO-20221474560,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,Convenience Stores,Commercial,Moss Park,-79.37008264,43.65616228,1
10.42.0.211-10.42.0.1-37285-53-17,GO-20221234429,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,Convenience Stores,Commercial,NSA,-79.72735381,43.66171116,0
10.42.0.211-106.39.169.66-52036-80-6,GO-20221475793,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Birchcliffe-Cliffside,-79.26717325,43.69012127,1
10.42.0.211-66.231.239.120-48296-443-6,GO-20221476304,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OConnor-Parkview,-79.29958162,43.70066139,0
192.229.173.173-10.42.0.42-80-51412-6,GO-20221475785,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Little Portugal,-79.43141432,43.64965071,1
10.42.0.211-104.193.88.109-53754-80-6,GO-20221475845,2022/02/05 05:00:00+00,2022/02/05 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Weston,-79.51775154,43.70060252,0
10.42.0.211-10.42.0.1-40300-53-17,GO-20221478633,2022/02/05 05:00:00+00,2022/02/06 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Hillcrest Village,-79.36802544,43.7900118,0
10.42.0.1-10.42.0.42-53-24557-17,GO-20221481446,2022/02/06 05:00:00+00,2022/02/06 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Mount Dennis,-79.50085239,43.6913029,0
10.42.0.211-10.42.0.1-54404-53-17,GO-20221482167,2022/02/06 05:00:00+00,2022/02/06 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Hillcrest Village,-79.35469483,43.79266025,0
10.42.0.211-10.42.0.1-38327-53-17,GO-20221482923,2022/02/06 05:00:00+00,2022/02/06 05:00:00+00,Convenience Stores,Commercial,LAmoreaux,-79.31417576,43.79140112,0
202.77.129.185-10.42.0.211-80-42624-6,GO-20221482923,2022/02/06 05:00:00+00,2022/02/06 05:00:00+00,Convenience Stores,Commercial,LAmoreaux,-79.31417576,43.79140112,1
10.42.0.211-23.208.26.242-50710-443-6,GO-20221482923,2022/02/06 05:00:00+00,2022/02/06 05:00:00+00,Convenience Stores,Commercial,LAmoreaux,-79.31417576,43.79140112,1
203.205.158.62-10.42.0.211-80-60548-6,GO-20221482732,2022/02/06 05:00:00+00,2022/02/06 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Yorkdale-Glen Park,-79.44598667,43.72478043,0
10.42.0.211-77.234.41.79-33319-443-6,GO-20221484214,2022/02/07 05:00:00+00,2022/02/07 05:00:00+00,Convenience Stores,Commercial,Kensington-Chinatown,-79.39033931,43.65450322,0
172.217.12.161-10.42.0.151-443-54018-6,GO-20221484246,2022/02/07 05:00:00+00,2022/02/07 05:00:00+00,Convenience Stores,Commercial,Bay Street Corridor,-79.38518506,43.65542635,0
172.217.10.99-10.42.0.42-443-50426-17,GO-20221487990,2022/02/07 05:00:00+00,2022/02/07 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Malvern,-79.22444127,43.80250536,1
172.217.10.8-10.42.0.151-443-46677-6,GO-20221488485,2022/02/07 05:00:00+00,2022/02/07 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,West Hill,-79.1718836,43.77076077,1
10.42.0.211-10.42.0.1-6243-53-17,GO-20221489510,2022/02/07 05:00:00+00,2022/02/07 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Black Creek,-79.5135849,43.76370504,1
140.205.230.8-10.42.0.211-80-57763-6,GO-20221488153,2022/02/07 05:00:00+00,2022/02/07 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Clairlea-Birchmount,-79.28668911,43.70008354,1
172.217.12.202-10.42.0.211-443-33167-6,GO-20221490020,2022/02/08 05:00:00+00,2022/02/08 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Bay Street Corridor,-79.38353872,43.64792395,1
192.229.173.173-10.42.0.42-80-55478-6,GO-20221491039,2022/02/08 05:00:00+00,2022/02/08 05:00:00+00,Convenience Stores,Commercial,Forest Hill North,-79.42610953,43.70427463,0
162.208.22.39-10.42.0.211-443-58908-6,GO-20221490940,2022/02/08 05:00:00+00,2022/02/08 05:00:00+00,Bar / Restaurant,Commercial,University,-79.40743417,43.66591416,1
10.42.0.151-10.42.0.1-60173-53-17,GO-20221493397,2022/02/04 05:00:00+00,2022/02/08 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Church-Yonge Corridor,-79.38132952,43.65741605,0
10.42.0.151-10.42.0.1-41930-53-17,GO-20221493262,2022/02/08 05:00:00+00,2022/02/08 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,New Toronto,-79.50523674,43.60076237,0
10.42.0.42-87.240.165.80-41928-80-6,GO-20221494043,2022/02/08 05:00:00+00,2022/02/08 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Mount Olive-Silverstone-Jamestown,-79.58950179,43.75593284,0
10.42.0.151-10.42.0.1-8905-53-17,GO-20221493973,2022/02/08 05:00:00+00,2022/02/08 05:00:00+00,Convenience Stores,Commercial,Old East York,-79.35025076,43.69324182,1
10.42.0.211-64.71.142.120-41721-443-6,GO-20221493973,2022/02/08 05:00:00+00,2022/02/08 05:00:00+00,Convenience Stores,Commercial,Old East York,-79.35025076,43.69324182,0
174.35.73.110-10.42.0.211-80-47715-6,GO-20221494721,2022/02/08 05:00:00+00,2022/02/08 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Rockcliffe-Smythe,-79.47773655,43.67801895,1
10.42.0.211-10.42.0.1-44249-53-17,GO-20221495193,2022/02/08 05:00:00+00,2022/02/08 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Church-Yonge Corridor,-79.38088599,43.65632883,0
10.42.0.1-10.42.0.42-53-53887-17,GO-20221495667,2022/02/08 05:00:00+00,2022/02/09 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Milliken,-79.27193656,43.81794029,1
172.217.9.238-10.42.0.151-443-49502-6,GO-20221495752,2022/02/09 05:00:00+00,2022/02/09 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,St.Andrew-Windfields,-79.38820065,43.76049493,0
10.42.0.211-10.42.0.1-22786-53-17,GO-20221495768,2022/02/08 05:00:00+00,2022/02/09 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Agincourt North,-79.25935975,43.8077844,1
10.42.0.211-104.192.110.245-53511-443-6,GO-20221499764,2022/02/09 05:00:00+00,2022/02/09 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Dovercourt-Wallace Emerson-Junction,-79.44234715,43.66277184,1
172.217.12.131-10.42.0.151-443-52803-6,GO-20221498538,2022/02/09 05:00:00+00,2022/02/09 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Glenfield-Jane Heights,-79.52066166,43.75673277,0
10.42.0.211-10.42.0.1-10641-53-17,GO-20221499946,2022/02/09 05:00:00+00,2022/02/09 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Brookhaven-Amesbury,-79.4774673,43.70618471,1
163.177.93.222-10.42.0.151-80-59939-6,GO-20221499946,2022/02/09 05:00:00+00,2022/02/09 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Brookhaven-Amesbury,-79.4774673,43.70618471,0
172.217.3.110-10.42.0.211-443-59382-6,GO-20221499946,2022/02/09 05:00:00+00,2022/02/09 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Brookhaven-Amesbury,-79.4774673,43.70618471,0
172.217.10.110-10.42.0.151-443-55275-6,GO-20221499946,2022/02/09 05:00:00+00,2022/02/09 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Brookhaven-Amesbury,-79.4774673,43.70618471,1
182.22.67.91-10.42.0.151-443-49755-6,GO-20221499946,2022/02/09 05:00:00+00,2022/02/09 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Brookhaven-Amesbury,-79.4774673,43.70618471,1
10.42.0.211-10.42.0.1-41689-53-17,GO-20221500644,2022/02/09 05:00:00+00,2022/02/09 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Newtonbrook East,-79.41227445,43.78047607,0
8.41.222.241-10.42.0.211-443-42065-6,GO-20221505623,2022/02/07 05:00:00+00,2022/02/10 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Moss Park,-79.36941977,43.65452491,1
192.229.173.173-10.42.0.151-80-44704-6,GO-20221505273,2022/02/10 05:00:00+00,2022/02/10 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,LAmoreaux,-79.29548547,43.79692735,0
10.42.0.211-10.42.0.1-34014-53-17,GO-20221504798,2022/02/10 05:00:00+00,2022/02/10 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,South Riverdale,-79.33754387,43.6687961,1
10.42.0.211-10.42.0.1-59327-53-17,GO-20221505381,2022/02/10 05:00:00+00,2022/02/10 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Steeles,-79.31104457,43.82039416,0
172.217.6.227-10.42.0.211-443-55393-6,GO-20221505187,2022/02/10 05:00:00+00,2022/02/10 05:00:00+00,Go Station,Transit,Agincourt South-Malvern West,-79.28503276,43.78535483,1
10.42.0.211-10.42.0.1-43691-53-17,GO-20221506637,2022/02/10 05:00:00+00,2022/02/10 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Humber Heights-Westmount,-79.51141912,43.68396393,0
10.42.0.211-23.21.51.186-50298-443-6,GO-20221506558,2022/02/10 05:00:00+00,2022/02/10 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Willowdale East,-79.40653241,43.75650092,0
172.217.10.234-10.42.0.42-443-58499-6,GO-20221506769,2022/02/10 05:00:00+00,2022/02/10 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Englemount-Lawrence,-79.44063201,43.72782912,0
174.35.73.165-10.42.0.42-80-52265-6,GO-20221507116,2022/02/10 05:00:00+00,2022/02/11 05:00:00+00,Ttc Subway Station,Transit,Lansing-Westgate,-79.41341769,43.76183785,0
10.42.0.211-10.42.0.1-46534-53-17,GO-202214180,2022/02/08 05:00:00+00,2022/02/11 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,NSA,-79.02324578,43.8615181,0
172.217.9.227-10.42.0.211-443-50059-6,GO-20221508674,2022/02/10 05:00:00+00,2022/02/11 05:00:00+00,Schools During Supervised Activity,Educational,Woburn,-79.2265346,43.77758805,1
10.42.0.151-106.39.162.36-53608-80-6,GO-20221510195,2022/02/11 05:00:00+00,2022/02/11 05:00:00+00,Schools During Supervised Activity,Educational,Kingsway South,-79.5214032,43.65033128,1
203.205.158.66-10.42.0.151-80-55438-6,GO-20221510195,2022/02/11 05:00:00+00,2022/02/11 05:00:00+00,Schools During Supervised Activity,Educational,Kingsway South,-79.5214032,43.65033128,0
172.217.9.227-10.42.0.42-80-60060-6,GO-20221510727,2022/02/09 05:00:00+00,2022/02/11 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Bendale,-79.25417421,43.77664804,0
10.42.0.211-10.42.0.1-4871-53-17,GO-20221511511,2022/02/11 05:00:00+00,2022/02/11 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,East End-Danforth,-79.29798392,43.67888482,0
10.42.0.211-69.147.64.34-33128-443-6,GO-20221510978,2022/02/11 05:00:00+00,2022/02/11 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Eglinton East,-79.23724759,43.73667607,1
10.42.0.151-23.21.72.212-46930-443-6,GO-20221511173,2022/02/11 05:00:00+00,2022/02/11 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Malvern,-79.22088214,43.80557764,1
173.241.242.143-10.42.0.211-443-50911-6,GO-20221511173,2022/02/11 05:00:00+00,2022/02/11 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Malvern,-79.22088214,43.80557764,1
10.42.0.151-10.42.0.1-16353-53-17,GO-20221511173,2022/02/11 05:00:00+00,2022/02/11 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Malvern,-79.22088214,43.80557764,1
10.42.0.211-74.217.63.52-53398-443-6,GO-20221511751,2022/02/11 05:00:00+00,2022/02/11 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Oakwood Village,-79.4472933,43.69635948,1
211.144.37.229-10.42.0.211-80-59949-6,GO-20221559709,2022/02/19 05:00:00+00,2022/02/19 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Weston,-79.51584069,43.69883768,0
10.42.0.211-121.12.98.64-58425-80-6,GO-20221728648,2022/03/18 04:00:00+00,2022/03/19 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Roncesvalles,-79.45241445,43.65632155,1
10.42.0.211-77.234.42.92-57781-443-6,GO-20221559709,2022/02/19 05:00:00+00,2022/02/19 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Weston,-79.51584069,43.69883768,0
10.42.0.151-10.42.0.1-58459-53-17,GO-20221558559,2022/02/18 05:00:00+00,2022/02/19 05:00:00+00,"Group Homes (Non-Profit, Halfway House, Social Agency)",Other,Moss Park,-79.37099208,43.65829436,0
172.217.11.14-10.42.0.151-443-37232-6,GO-20221728117,2022/03/18 04:00:00+00,2022/03/19 04:00:00+00,Schools During Supervised Activity,Educational,Roncesvalles,-79.45241445,43.65632155,0
172.217.10.10-10.42.0.211-443-55641-6,GO-20221559591,2022/02/19 05:00:00+00,2022/02/19 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Keelesdale-Eglinton West,-79.46760748,43.69023891,1
10.42.0.42-103.235.46.211-39424-443-6,GO-20221732135,2022/03/19 04:00:00+00,2022/03/19 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Bay Street Corridor,-79.38548616,43.65612775,0
8.0.6.4-8.6.0.1-0-0-0,GO-20221559591,2022/02/19 05:00:00+00,2022/02/19 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Keelesdale-Eglinton West,-79.46760748,43.69023891,1
172.217.10.138-10.42.0.151-443-33568-6,GO-20221731582,2022/03/19 04:00:00+00,2022/03/19 04:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Bendale,-79.25417421,43.77664804,0
151.101.1.134-10.42.0.151-443-35329-6,GO-20221559331,2012/02/19 05:00:00+00,2022/02/19 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Keelesdale-Eglinton West,-79.47502356,43.69016583,1
172.217.8.3-10.42.0.42-443-46316-6,GO-20221732614,2022/03/19 04:00:00+00,2022/03/19 04:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Moss Park,-79.37099208,43.65829436,0
10.42.0.1-10.42.0.42-53-23164-17,GO-20221561336,2022/02/19 05:00:00+00,2022/02/19 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Agincourt North,-79.26915987,43.81163593,1
172.217.11.14-10.42.0.211-443-37667-6,GO-20221561481,2022/02/19 05:00:00+00,2022/02/19 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Annex,-79.38949143,43.67696204,1
172.217.10.1-10.42.0.211-443-34132-6,GO-20221731275,2022/03/19 04:00:00+00,2022/03/19 04:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,West Hill,-79.17388282,43.77115371,0
10.42.0.151-31.13.71.37-40974-443-6,GO-20221562018,2022/02/20 05:00:00+00,2022/02/20 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Yonge-St.Clair,-79.39373784,43.68094902,1
10.42.0.211-10.42.0.1-38492-53-17,GO-20221731241,2022/03/19 04:00:00+00,2022/03/19 04:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Victoria Village,-79.30051797,43.7197057,0
10.42.0.151-10.42.0.1-11104-53-17,GO-20221731784,2022/03/19 04:00:00+00,2022/03/19 04:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Mount Olive-Silverstone-Jamestown,-79.59532854,43.74428838,0
173.194.66.188-10.42.0.42-5228-38135-6,GO-20221562287,2022/02/20 05:00:00+00,2022/02/20 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,NSA,0,0,1
10.42.0.211-104.193.88.109-54723-80-6,GO-20221731994,2022/03/19 04:00:00+00,2022/03/19 04:00:00+00,Convenience Stores,Commercial,Humbermede,-79.53941452,43.73899044,1
209.10.120.26-10.42.0.211-80-44657-6,GO-20221562315,2022/02/20 05:00:00+00,2022/02/20 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Mount Pleasant East,-79.3917387,43.71260726,0
180.149.153.234-10.42.0.211-80-39998-6,GO-20221735175,2022/03/20 04:00:00+00,2022/03/20 04:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Islington-City Centre West,-79.55686589,43.61012637,1
180.149.136.194-10.42.0.211-443-40291-6,GO-20221562446,2022/02/20 05:00:00+00,2022/02/20 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Moss Park,-79.36691319,43.65649967,0
10.42.0.211-76.13.28.196-39700-443-6,GO-20221735946,2022/03/20 04:00:00+00,2022/03/20 04:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Runnymede-Bloor West Village,-79.48183226,43.64990352,1
10.42.0.151-52.84.142.16-47986-443-6,GO-20221563626,2022/02/19 05:00:00+00,2022/02/20 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,West Humber-Clairville,-79.59552737,43.68675813,0
10.42.0.211-66.198.24.225-58096-443-6,GO-20221736537,2022/03/20 04:00:00+00,2022/03/20 04:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Dorset Park,-79.27698787,43.75165271,1
180.163.255.159-10.42.0.211-80-52116-6,GO-20221564912,2022/02/20 05:00:00+00,2022/02/20 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Keelesdale-Eglinton West,-79.47605995,43.6899192,0
172.217.6.238-10.42.0.42-443-35433-6,GO-20221736537,2022/03/20 04:00:00+00,2022/03/20 04:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Dorset Park,-79.27698787,43.75165271,0
10.42.0.211-123.125.29.220-55281-80-6,GO-20221564858,2022/02/20 05:00:00+00,2022/02/20 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,South Riverdale,-79.33754387,43.6687961,0
10.42.0.211-103.235.46.39-51713-80-6,GO-20221737224,2022/03/20 04:00:00+00,2022/03/20 04:00:00+00,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,Church-Yonge Corridor,-79.37827718,43.65626242,0
10.42.0.42-23.206.125.17-39542-80-6,GO-20221738584,2022/03/20 04:00:00+00,2022/03/20 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Willowridge-Martingrove-Richview,-79.56126506,43.69074172,0
